标题,标题链接,缩略图,room,来自经纪人,infor,listjjr,money,纬度,经度
鹿城五马街小南路扬舲公寓 独门独户,https://wz.58.com/zufang/82629851859290x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ7DIAxA0dswG2NjGHyAzj1AZRXUJFJDWoKi3L7Zun693-einoQkBSDE7JmJMVGOyAHYTW30eisaskS5UA4Zok_o-mTr6zNs1WO8bZlrsfaP1yGcwBXb7d7G91kVnJXHfm5Vtx9C1hmwdQAAAA==,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        30㎡,"扬舲公寓房产                            
                                                    
                                                                田健",小南路82号楼,田健,900元/月,,
马鞍池银泰附近，五马街附近，多套一室带厨房，家电齐全，可月付,https://wz.58.com/zufang/83381322522331x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ7CMAwAwN9kdpPYjgc_gJkHIAtHbZFoCmmE-D1sXU-6vrpOiaAkYYlRJsSMACmLCAGHpY1eL64ZOAoRpcKMUTj0xbb5NWzTz3jaY61u7cT_YCwQ3A67tvG-V4Vgfju-e9X9BxGFx4V1AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        35㎡,"优家盛开                            
                                                    
                                                                陈伟","马鞍池东路12,14号楼",陈伟,900元/月,,
免费带看，五马街附近，一室一卫一厨1000至1500支持月付,https://wz.58.com/zufang/83296513160026x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ7CMAwAwN9kthMnrgc_gJkHIAtHbZFoCmmE-D1sXU-6vrpiKjAlYYlRMGfKAIlEpACHpY1eL64EJSIiEBAW5hT6Ytv8GrbpZzztsVa3duJ_cJ4guB12beN9rwrB_HZ896r7D7k31Sp1AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        40㎡,郭翔,新街公寓,郭翔,1000元/月,,
免费带看，五马街附近，一室一卫一厨800至1500，支持月付,https://wz.58.com/zufang/83036738078045x.shtml?compressed_params=H4sIAAAAAAAAA0XLOw7CMAwA0NtkdpyY2IMPwMwBkIWjfiSaQhpV3B421ie9vrjGyFSEkyBKJMq5YIoEdEkpzG30enXNgMwkjCJRCkHos23Ta9im53jaulS39sffKMQQ3A67tfF-VIVgfj8-e9X9Cwua7Wp1AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        40㎡,郭翔,"五马街23,30弄小区",郭翔,1000元/月,,
免费看房，可短租，马鞍池，小南路，五马街附近多套房间出租，,https://wz.58.com/zufang/83271491686493x.shtml?compressed_params=H4sIAAAAAAAAA0XLPQ7DIAxA4dswmx8HM_gAnXuAyqpRSKSGtARFuX3Zsj59ry3K1hLGRD45lyxiCNF5i4CT96bU3vJDOQBSAhqAAGCKphXZ5m-Xjc_-kXXJKvWO44hIYFQOedb-e2cGI_o6rj3z_geNHg1TdQAAAA==,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        25㎡,陈苗,小南路82号楼,陈苗,800元/月,,
免费看房，马鞍池，银泰世贸，五马街，开太百货，名城广场多套,https://wz.58.com/zufang/82607907868763x.shtml?compressed_params=H4sIAAAAAAAAA0XLQQ4CIQwAwN9wBtoCPfQBnvcBm8YSWROXVZYYf683r5PM2EwCZswFPMbIgQgpFuQUCTy51ueoFxPgDJyYEgRALuRG0_32nLrLez70vlXT_sffyFS8Mz116fN1reKd2np-jirHFyerj3V1AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        39㎡,陈苗,铁井栏小区,陈苗,880元/月,,
免费看房，实拍！马鞍池公园，银泰世贸，五马街附近多套出租,https://wz.58.com/zufang/83060592760669x.shtml?compressed_params=H4sIAAAAAAAAA0WLSQ7CMAwAf5NzFruOD34AZx6ALBzRVqIppFHV35MbcxzNtMUkUOaUKA44IAIgMETKOGU3197KzQR8ChzSKCLD5Mm1WbfXp-smZ3_ruhTT-pfjIMzemR56r_37LOKd2uO49iL7D6-JPLN1AAAA,https://pic2.58cdn.com.cn/anjuke_58/c5029e7ef3b98931aa94f156dcc7be12?w=240&h=180&ss=1&crop=1&cpos=middle&w=240&h=180&crop=1&t=1&srotate=1,1室                        35㎡,陈苗,"马鞍池东路12,14号楼",陈苗,980元/月,,
免费看房，五马街，开太，第一桥，银泰世贸附近多套，可月付,https://wz.58.com/zufang/82622394022109x.shtml?compressed_params=H4sIAAAAAAAAA0XLPQ7CMAxA4dtkjp0Yx4MPwMwBkIWj_kg0hTRC3J5urE_f64srUEnEsQCiAFEmyAj5UjJxmNvo9eqahKlgYonMhCKhz7ZNr2GbfsbT1qW6tX88j9PH4HbYrY33o2oM5vfju1fdf05wp1R1AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        25㎡,陈苗,开太大厦,陈苗,999元/月,,
免费看房，五马街，人民路附近精装电梯房，可以月付，家电齐全,https://wz.58.com/zufang/83412604871642x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ6DMAxA0dtkNsSO8eADMPcAlYWjQiUIbYhQbw9b1__06-LaxQRDFJa-l44ICSCiiCTgMJdW8-iKwEkYmOVWQgx1tu31abbp2VZ7L9mt_ON9MA0Q3A57lPadskIwfx6_Pet-AcUnRl11AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        30㎡,潘建勇,五洲大厦,潘建勇,1000元/月,,
免费看房，五马街，人民路附近精装电梯房，可以月付，家电齐全,https://wz.58.com/zufang/83401587284445x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ6DMAxA0dtkdoydhMEHYO4BKquOCkgQIESI25et63_6dTLxFCmmDgix98zEmKgPyB2wG0ureTAhiMwBHkKCQN7VUdfv3nSVqy06T9m0_ONzRE7gTE99lXZ8soBTe5_3lmX7Ae6WkOh1AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        30㎡,林格选,五洲大厦,林格选,1000元/月,,
免费看房，五马街附二医附近新装修家电齐全一室一卫一厨提包入住,https://wz.58.com/zufang/82256912210395x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ7CMAxA0dtktk3sxoMPwMwBkIUjWiSaQhohbg9MTF960u9LGApOUpSFSJE5cwYVll_S3Eavx7CDkkImxFIKkHDqs6_Xx_DVXuPut6WGtz9-j4kLpPDdT208L9UgeZz391Zt-wA5m2fWdQAAAA==,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        35㎡,徐琼敏,"蒲鞋市68,76弄小区",徐琼敏,880元/月,,
免费看房，五马街精装单间850，可以月付，家电齐全，拎包入住,https://wz.58.com/zufang/83414473291101x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ7CMAxA0dtkdtzYTgYfgJkDIAtHtEg0hTSquD0wMX3pSb8vrpGjcC7EiCUSJUpQmPiXMLfR68k1gQhCKZMgTpwx9NnW23PYqsd42H2pbu2P30MoQ3Db7dzG61oVgvllf29Vtw_B7Oo-dQAAAA==,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        25㎡,林格选,湖滨东楼,林格选,850元/月,,
免费看房实拍，五马街新装一室一卫一厨家电齐全提包入住980起,https://wz.58.com/zufang/82256832616155x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ6DMAwAwN9ktmNM4sEP6MwDkFVHhUolQIiq_r7dup50bXVFGiGTJIlRkHlgABpEZIQUltpbubmSRAFCIciAyCm0xbbH0W3Td3_Zcy1u9Y-_kThDcLtsqv28F4VgPl-fvej-BV_UORp1AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        32㎡,徐琼敏,广场路194号楼,徐琼敏,980元/月,,
免费看房现场实拍，五马街中山公园欧洲城附近一室一卫一厨家电,https://wz.58.com/zufang/59597908518286x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ7CMAwAwN9kdhLbiQc_gJkHIAtHtEg0hTRC_B421pNurK4RC5aaAVOSSISUKgonykBh6XO0k2suwCjAwFGkRg5jse32nLbpez7svja3_sffKFQhuB127vN1bQrB_HJ89qb7F_5eioB1AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        35㎡,徐琼敏,欧洲城(商住楼),徐琼敏,980元/月,,
免中介 随时看房 五马街酒店式公寓 24小时专人管理安全可靠,https://wz.58.com/zufang/83249217448154x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ7CMAwF0NtkthP_xh18AGYOgCwS0SLRFNIIcXvYWJ_0-lqMoQmZlGOcGRCwRJZJBTksbfR6KiaEiZBZ58QJIqEvvt2ewzd7j4ff11q8_fE3MpRC8cPPbbyu1Sh4uRyfvdr-BX5dyFJ1AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        20㎡,唐小攀,金鹰大楼,唐小攀,1000元/月,,
免中介 五马街 公园路附近  租金灵活  随时看房,https://wz.58.com/zufang/83249338539866x.shtml?compressed_params=H4sIAAAAAAAAA0XLOw6DMAwA0Ntkdoydz-ADMPcAlVVHQCUIbYhQb0831ie9tpj4TNEz-ISYPTMxD4RAQ0R0c-2tjCYEHCBiSBkoB0DXZt2mT9dNzr7qeymm9cb_iJzAmR76qP37KgJO7Xn89iL7BUAhRZ51AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        20㎡,唐小攀,公园路158弄小区,唐小攀,1000元/月,,
免中介 自己公寓随时看房 五马街 公园路 蝉街 纱帽河附近,https://wz.58.com/zufang/83248474388829x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ7CMAwAwN9kdp04jgc_gJkHIAtHbZFoCmmE-D1sXU-6vrpOMUOJwoIoE1EigJhEJAOHpY1eL64JiCQjMOeCDBj6Ytv8GrbpZzztsVa3duJ_MBUIbodd23jfq0Iwvx3fver-A78BRuh1AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        20㎡,唐小攀,康乐坊,唐小攀,1000元/月,,
随时看房，五马街 人民路 可月付公寓 家电齐全,https://wz.58.com/zufang/83053170517211x.shtml?compressed_params=H4sIAAAAAAAAA0XLOw7CMAwA0Ntk9idOk8EHYOYAyMJRWySaQhohbg9b1ye9vroiSEICEqKCIjHmxBNBpsxhaaPXi2sEhpIYMyGWEjn0xbb5NWzTz3jaY61u7cT_mCRDcDvs2sb7XhWC-e347lX3H7Zsuid1AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        28㎡,"亿旺房产                            
                                                    
                                                                龙俊",公安路32号小区,龙俊,900元/月,,
随时看房免介绍 五马街附近 1室一厨一卫 1000,https://wz.58.com/zufang/83247677706331x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ7CMAwF0NtktlP_xh1yAGYOgCwctUWiKaQR4vawdX3Sa6tnhg5IpBzjxICAJbKMKkhhqb2Vi2chQEdiigMwKYe22Da_um3505_2WItbPfE_EpSC22HX2t_3kimY347vXvL-A2L3mNZ1AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        15㎡,唐小攀,"五马街23,30弄小区",唐小攀,1000元/月,,
无介绍 随时看房 五马街 公园路 蝉街附近公寓 1000,https://wz.58.com/zufang/83247708364506x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ7CMAxA0dtkto2dmMEHYOYAyMIRLRJNIY0qbk831q_3-xyGoicpoEh0RhEWZELOylLS1EavlzAGEc0MlA9ZhFKffHm8hy-2j5c_5xre_vE4iiik8M2vbXzu1SB53LbvWm39AUcZ6511AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        20㎡,唐小攀,五马街105号小区,唐小攀,1000元/月,,
无中介 第一桥 纱帽河 五马街附近公寓 随时看房 1000,https://wz.58.com/zufang/83248414055131x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ7CMAwF0NtkdhN_Eg8-ADMHQBaOaJFoCmlUcXvYWJ_0-uI6ceZcEnGMMgGMWFhOEYkQ5jZ6PbsyAQJOYCkQodBnW--vYase42mPpbq1P_5GRqHgttuljfetKgXz6_7Zqm5f_kzc_3UAAAA=,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        20㎡,唐小攀,融谊大楼,唐小攀,1000元/月,,
无中介 府前大楼 五马街 牙科医院 晏公殿巷附近 随时看房,https://wz.58.com/zufang/83249049614170x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ6DMAxA0dtkdqjtJIMPwNwDVBaOgEoQIEQVty-dOn3pSb_OJp594JiIuy55IiSExMS_uKm0mnsTBGJ4UABGjAnY1UnXcW-6yqct-p6zafnjfQSK4ExPfZZ2DFnAqb3Oa8uyfQHKvx2hdQAAAA==,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        20㎡,唐小攀,府前大楼(鹿城),唐小攀,1000元/月,,
无中介 随时看房 五马街 打铁巷公寓  随时看房  1000,https://wz.58.com/zufang/83247954456925x.shtml?compressed_params=H4sIAAAAAAAAA0XLPQ7CMAwG0Ntkdn6-JB58AGYOgCwc0SLRFNIIcXvYWJ_0xmriY6YauXAI7IEEopiYOVNxS5-jnUwSAZWBkFP0BXBj0e32nLrJez70vjbT_sffKKjkTA899_m6NiGndjk-e5P9C_Zw3FN1AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        20㎡,唐小攀,解放街后巷小区,唐小攀,1000元/月,,
无中介 五马街 纱帽河 第一桥融谊大楼附近 1室1厨1卫,https://wz.58.com/zufang/83249232197725x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ6DMAxA0dtkdpwYh8EH6NwDVBaOCkglQIgQt4et69f7dTLxQJ1HQELsPVGMqQuMkDAFN5ZW88skPgaoB2Yk8hxcHXX5bk0XOdtP5ymbln98DqYEzvTQd2n7kAWc2ue41izrDZBmGAJ1AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        20㎡,唐小攀,融谊大楼,唐小攀,1000元/月,,
五马街，小南门，马鞍池多套一室一卫一厨家电齐全，可月付！,https://wz.58.com/zufang/58689974097669x.shtml?compressed_params=H4sIAAAAAAAAA0XLQQ6DIBBA0duwHpAZYDEH6NoDmEmHiCYVWySNt29dufrJS35blC3ZQDEhOZcsokcPiZCumFJ7yw_lARO4gADgvY0BTCuyze8uG3_7S9Ylq9Qb_0fACEblkLH2zzMzGNHpOPfM-w9ojNEtdQAAAA==,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        25㎡,"优家盛开                            
                                                    
                                                                陈伟","马鞍池东路12,14号楼",陈伟,900元/月,,
五马街县前头多套出租一室一厨一卫清爽装修30平方租金100月,https://wz.58.com/zufang/55746724123046x.shtml?compressed_params=H4sIAAAAAAAAA0XLMQ6DMAxA0dtkdmKc4MEHYO4BKquOCkgQIESI25et63_6dTLxGKFHThwCe6KOALBj5gjJjaXVPJhg8EjIj1DCENHVUdfv3nSVqy06T9m0_ONzJOrBmZ76Ku34ZAGn9j7vLcv2A7D9UPx1AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        28㎡,"五马好日子房产                            
                                                    
                                                                刘赛华",县前头小区,刘赛华,1000元/月,,
五马街县前头铁井栏一室一厨一卫精装修家电齐全租金1000月,https://wz.58.com/zufang/58327181003926x.shtml?compressed_params=H4sIAAAAAAAAA0XLPQ7CMAxA4dtkdvzTmMEHYOYAyMIRLRJNIY0Qt6cbb_yk15ewDDJlBBTEUxZh1okKgqJSmtvo9RxGwqRUWBnLEaY--3p_DV_tM57-WGp4--NxFFFI4btf2njfqkHyuO7frdr2A6YtmrV1AAAA,https://img.58cdn.com.cn/ui9/house/list/lazy_pic.png,1室                        33㎡,"五马好日子房产                            
                                                    
                                                                刘赛华",铁井栏小区,刘赛华,1000元/月,,
